"Species" "Family" "Lifeform" "N" "Hemicellulose" "Cellulose" "Lignin" "LamWS" "LamFT" "VeinFT" "LamD" "LamT"
"177" "Terminalia_oblonga" "Combretaceae" "UNDERSTORY" 6 153.911 212.847 69.536 0.04 404.392 2767.425 0.236 0.098
"178" "Thevetia_ahouai" "Apocynaceae" "SHRUB" 9 127.576 182.469 111.521 0.055 214.468 2856.24 0.133 0.258
"179" "Trattinnickia_aspera" "Burseraceae" "TREE" 6 132.933 179.031 82.333 0.052 343.9 2781.1 0.229 0.143
"180" "Trichanthera_gigantea" "Acanthaceae" "UNDERSTORY" 3 145.4 185.503 126.314 0.042 347.25 2944.917 0.179 0.122
"181" "Trichilia_pallida" "Meliaceae" "MIDSTORY" 8 217.514 206.703 174.703 0.045 351.686 2631.12 0.303 0.13
"182" "Trichilia_tuberculata" "Meliaceae" "TREE" 5 168.103 163.147 255.388 0.053 340.51 2444.08 0.324 0.152
"183" "Triplaris_cumingiana" "Polygonaceae" "MIDSTORY" 6 182.791 209.974 129.495 0.034 393.075 2224.817 0.325 0.091
"184" "Trophis_caucana" "Moraceae" "UNDERSTORY" 11 118.314 192.261 76.58 0.052 528.502 3086.419 0.236 0.1
"185" "Trophis_racemosa" "Moraceae" "MIDSTORY" 4 139.709 182.744 67.775 0.057 449.225 3088.975 0.245 0.128
"186" "Turpinia_occidentalis" "Staphyleaceae" "UNDERSTORY" 4 164.302 181.173 107.937 0.039 286.492 2666.433 0.218 0.138
"187" "Unonopsis_pittieri" "Annonaceae" "MIDSTORY" 4 149.317 247.014 279.437 0.044 315.55 2926.95 0.293 0.138
"188" "Virola_multiflora" "Myristicaceae" "MIDSTORY" 5 83.864 186.837 207.431 0.066 398.9 2079.2 0.25 0.165
"189" "Virola_nobilis" "Myristicaceae" "TREE" 5 85.882 180.142 247.591 0.057 409.62 2154.4 0.289 0.14
"190" "Virola_sebifera" "Myristicaceae" "TREE" 7 108.956 154.973 189.847 0.047 288.8 2089.219 0.307 0.164
"191" "Vismia_baccifera" "Clusiaceae" "SHRUB" 8 146.895 232.762 246.681 0.069 352.781 2574.269 0.245 0.194
"192" "Vochysia_ferruginea" "Vochysiaceae" "TREE" 7 90.929 147.208 131.097 0.081 461.225 3197.572 0.269 0.176
"193" "Xylosma_oligandra" "Salicaceae" "UNDERSTORY" 4 142.497 159.941 109.71 0.032 260.175 2309.15 0.224 0.125
"194" "Zanthoxylum_ekmanii" "Rutaceae" "TREE" 2 225.719 141.726 159.025 0.031 237.65 2915.85 0.269 0.125
"195" "Zanthoxylum_juniperinum" "Rutaceae" "TREE" 4 239.126 164.951 111.578 0.067 339.533 2986.233 0.332 0.2
"196" "Zanthoxylum_panamense" "Rutaceae" "MIDSTORY" 6 348.712 182.045 96.426 0.029 237.5 2397.942 0.232 0.124
"197" "Zuelania_guidonia" "Salicaceae" "TREE" 5 129.478 180.599 154.41 0.064 421.41 2395.178 0.224 0.149
